"","authors_new","n"
"234","knüpfer, curd",1
"235","koc-michalska, karolina",1
"236","kollanyi, bence",1
"237","königslöw, katharina kleinen-von",1
"238","kreutz, tim",1
"239","kritzinger, sylvia",1
"240","kubli, maël",1
"241","kümpel, anna sophie",1
"242","kunisky, dmitriy",1
"243","kustov, alexander",1
"244","laffidy, mary",1
"245","lam, patrick",1
"246","lappas, georgios",1
"247","lauderdale, benjamin e.",1
"248","lavi, liron",1
"249","lee, misook",1
"250","lefebvre, rebecca",1
"251","lelkes, yphtach",1
"252","lemaire, pauline",1
"253","levan, a. carl",1
"254","lewis, jeff",1
"255","lietz, haiko",1
"256","lilleker, darren g.",1
"257","litvyak, olga",1
"258","liu, hanzhang",1
"259","liu, jiaying",1
"260","lodetti, patrizio",1
"261","londregan, john",1
"262","lowe, will",1
"263","ma, yuanye",1
"264","maboudi, tofigh",1
"265","magin, melanie",1
"266","mahlberg, michaela",1
"267","maier, jürgen",1
"268","mann, marcus",1
"269","márquez-ramírez, mireya",1
"270","martella, antonio",1
"271","matthes, jörg",1
"272","mccabe, katherine t",1
"273","mebane, walter r.",1
"274","meißner, peter",1
"275","mellado, claudia",1
"276","mercea, dan",1
"277","messing, solomon",1
"278","meyer-gutbrod, joshua",1
"279","meyer, philipp",1
"280","michael, gabriel",1
"281","michalski, tomasz",1
"282","mick, jacques",1
"283","miller, blake",1
"284","mirbabaie, milad",1
"285","molaei, hamideh",1
"286","monechi, bernardo",1
"287","monroe, burt l.",1
"288","montgomery, jacob m.",1
"289","mothes, cornelia",1
"290","mueller, hannes",1
"291","mueller, samuel david",1
"292","müller, philipp",1
"293","müller, wolfgang c.",1
"294","murthy, dhiraj",1
"295","nagler, jonathan",1
"296","nai, alessandro",1
"297","neuberger, christoph",1
"298","neudert, lisa-maria",1
"299","neumann, markus",1
"300","nicholls, tom",1
"301","nyhan, brendan",1
"302","nyhuis, dominic",1
"303","oegema, dirk",1
"304","olander, petrus",1
"305","oliveira, daniel josé silva",1
"306","ophir, yotam",1
"307","paik, sejin",1
"308","palaniswamy, nethra",1
"309","palmer-rubin, brian",1
"310","palmer, lindsay",1
"311","pan, jennifer",1
"312","parnet, olivier",1
"313","parthasarathy, ramya",1
"314","paxton, pamela",1
"315","peeters, jeroen",1
"316","perry, patrick o.",1
"317","peterson, andrew",1
"318","pipal, christian",1
"319","pirro, andrea l. p.",1
"320","podschuweit, nicole",1
"321","pond, philip",1
"322","popa, sebastian adrian",1
"323","posch, lisa",1
"324","pradel, franziska",1
"325","ramos, andrés",1
"326","ramsay, allan",1
"327","rao, vijayendra",1
"328","ratcliff, chelsea l.",1
"329","ratkovic, marc",1
"330","rauh, christian",1
"331","rauh, christopher",1
"332","reber, ueli",1
"333","reifler, jason",1
"334","rekker, roderik sb",1
"335","ressler, robert w.",1
"336","rijkhoff, sanne a.m.",1
"337","roberts, hal",1
"338","rodman, emma",1
"339","rodon, toni",1
"340","rossiter, erin l.",1
"341","rudkowsky, elena",1
"342","russell, frank michael",1
"343","russmann, fabian",1
"344","russmann, uta",1
"345","saeltzer, marius",1
"346","schub, robert",1
"347","schultz, friederike",1
"348","schumacher, gijs",1
"349","schürmann, lennart",1
"350","sebők, miklós",1
"351","sedlmair, michael",1
"352","selvik, lisa-marie",1
"353","shipan, charles r.",1
"354","sieberer, ulrich",1
"355","siegel, alexandra a.",1
"356","siegel, leeann",1
"357","siroky, david s.",1
"358","sjøvaag, helle",1
"359","slapin, jonathan b.",1
"360","solow-niederman, alicia",1
"361","sotirakou, catherine",1
"362","spaiser, viktoria",1
"363","stark, birgit",1
"364","stieglitz, stefan",1
"365","storer, alex",1
"366","stromer-galley, jennifer",1
"367","sturm-wikerson, heloisa",1
"368","su, chao",1
"369","su, yan",1
"370","sydnor, emily",1
"371","syed ali, pamina",1
"372","tai, yun",1
"373","temporão, mickael",1
"374","tenenboim-weinblatt, keren",1
"375","tesler, michael",1
"376","theocharis, yannis",1
"377","thomas, kathrin",1
"378","thomas, melanee",1
"379","tingley, dustin",1
"380","triantafillidou, amalia",1
"381","tripodi, francesca",1
"382","tucker, joshua",1
"383","tyler, matthew",1
"384","tzelgov, eitan",1
"385","van de velde, bob",1
"386","van der linden, clifton",1
"387","van der velden, mariken",1
"388","van der velden, mariken a. c. g.",1
"389","van hoof, marieke",1
"390","van spanje, joost hp",1
"391","vande kerckhove, corentin",1
"392","vannoni, matia",1
"393","vasko, vidar",1
"394","velasco, kristopher",1
"395","veletsianos, george",1
"396","ventura, tiago",1
"397","vis, barbara",1
"398","vliegenthart, rens",1
"399","vogler, daniel",1
"400","vos, debby",1
"401","voskresenskii, vadim",1
"402","waldherr, annie",1
"403","walter, dror",1
"404","wang, xiao",1
"405","wasow, omar",1
"406","wastian, matthias",1
"407","watanabe, kohei",1
"408","whyte, tanya",1
"409","wiegand, viola",1
"410","wijaya, derry",1
"411","wijermars, mariëlle",1
"412","wilson, steven lloyd",1
"413","wlezien, christopher",1
"414","won, miguel",1
"415","wong, michael w.-c.",1
"416","woolley, john",1
"417","wratil, christopher",1
"418","wu, h. denis",1
"419","wüest, bruno",1
"420","xu, zhan",1
"421","yang, tian",1
"422","yıldırım, kerem",1
"423","yu, yang",1
"424","zajac, jan m.",1
"425","zeng, jing",1
"426","zhang, feifei",1
"427","zhou, alvin",1
"428","ziezold, hendrik",1
"429","zittel, thomas",1
